Name,YEAR,ENROLLMENT,TotalNumberOfIncidents
FROEBEL ELEM. (4660),2010,337,2
FROEBEL ELEM. (4660),2011,300,1
FROEBEL ELEM. (4660),2012,285,0
FROEBEL ELEM. (4660),2013,326,0
FROEBEL ELEM. (4660),2014,350,0
FROEBEL ELEM. (4660),2015,316,0
GALLAUDET SCH. FOR DEAF ELEM. (4720),2008,41,2
GALLAUDET SCH. FOR DEAF ELEM. (4720),2009,41,1
GALLAUDET SCH. FOR DEAF ELEM. (4720),2010,47,1
GALLAUDET SCH. FOR DEAF ELEM. (4720),2011,0,0
GALLAUDET SCH. FOR DEAF ELEM. (4720),,,
GALLAUDET SCH. FOR DEAF ELEM. (4720),,,
GALLAUDET SCH. FOR DEAF ELEM. (4720),,,
GALLAUDET SCH. FOR DEAF ELEM. (4720),,,
GATEWAY ELEM. (4730),2008,464,3
GATEWAY ELEM. (4730),2009,443,2
GATEWAY ELEM. (4730),2010,462,3
GATEWAY ELEM. (4730),2011,436,4
GATEWAY ELEM. (4730),2012,509,5
GATEWAY ELEM. (4730),2013,545,0
GATEWAY ELEM. (4730),2014,540,0
GATEWAY ELEM. (4730),2015,511,1
GUNDLACH ELEM. (4760),2008,216,10
GUNDLACH ELEM. (4760),,,
GUNDLACH ELEM. (4760),,,
GUNDLACH ELEM. (4760),,,
GUNDLACH ELEM. (4760),,,
GUNDLACH ELEM. (4760),,,
GUNDLACH ELEM. (4760),,,
GUNDLACH ELEM. (4760),,,
HAMILTON ELEM. COMMUNITY ED. (4780),2008,214,10
HAMILTON ELEM. COMMUNITY ED. (4780),2009,278,3
HAMILTON ELEM. COMMUNITY ED. (4780),2010,344,9
HAMILTON ELEM. COMMUNITY ED. (4780),2011,297,1
HAMILTON ELEM. COMMUNITY ED. (4780),2012,231,3
HAMILTON ELEM. COMMUNITY ED. (4780),2013,323,1
HAMILTON ELEM. COMMUNITY ED. (4780),2014,366,7
HAMILTON ELEM. COMMUNITY ED. (4780),2015,350,5
HENRY ELEM. (4880),2008,189,7
HENRY ELEM. (4880),2009,165,1
HENRY ELEM. (4880),2010,231,3
HENRY ELEM. (4880),2011,280,4
HENRY ELEM. (4880),2012,212,10
HENRY ELEM. (4880),2013,215,2
HENRY ELEM. (4880),2014,181,2
HENRY ELEM. (4880),2015,182,3
HICKEY ELEM. (4890),2008,225,0
HICKEY ELEM. (4890),2009,199,6
HICKEY ELEM. (4890),2010,260,3
HICKEY ELEM. (4890),2011,217,1
HICKEY ELEM. (4890),2012,207,0
HICKEY ELEM. (4890),2013,187,2
HICKEY ELEM. (4890),2014,212,1
HICKEY ELEM. (4890),2015,196,0
HERZOG ELEM. (4900),2008,247,13
HERZOG ELEM. (4900),2009,228,6
HERZOG ELEM. (4900),2010,387,21
HERZOG ELEM. (4900),2011,353,18
HERZOG ELEM. (4900),2012,369,12
HERZOG ELEM. (4900),2013,372,2
HERZOG ELEM. (4900),2014,389,6
HERZOG ELEM. (4900),2015,401,2
HODGEN ELEM. (4920),2008,201,2
HODGEN ELEM. (4920),2009,223,3
HODGEN ELEM. (4920),2010,223,8
